# {"t_start": 1553040454.0211222, "env_id": "CartPole-v1"} 
r,l,t
256.0,256,45.084502
500.0,500,45.401686
500.0,500,45.62918
500.0,500,46.07158
500.0,500,46.432966
500.0,500,46.967401
500.0,500,47.3299
500.0,500,47.844736
500.0,500,48.210802
500.0,500,48.730917
500.0,500,49.132056
500.0,500,49.677259
87.0,87,49.745738
119.0,119,49.800806
500.0,500,50.043227
500.0,500,50.43285
500.0,500,50.698256
130.0,130,50.758934
500.0,500,51.132522
500.0,500,51.381298
500.0,500,51.751143
500.0,500,52.018733
500.0,500,52.369342
500.0,500,52.631457
500.0,500,52.972012
500.0,500,53.193255
500.0,500,53.588321
500.0,500,53.854425
380.0,380,54.117962
500.0,500,54.33433
500.0,500,54.667527
388.0,388,54.837248
500.0,500,55.179729
500.0,500,55.405234
500.0,500,55.722625
500.0,500,55.931269
500.0,500,56.157322
500.0,500,56.51996
500.0,500,56.772251
302.0,302,57.00589
500.0,500,57.256026
500.0,500,57.589102
500.0,500,57.814812
500.0,500,58.19507
500.0,500,58.445246
500.0,500,58.804754
500.0,500,59.079978
500.0,500,59.471792
500.0,500,59.747696
500.0,500,60.084089
500.0,500,60.323003
500.0,500,60.665679
223.0,223,60.768909
500.0,500,61.012003
205.0,205,61.22586
500.0,500,61.464642
500.0,500,61.825117
500.0,500,62.239209
500.0,500,62.690484
500.0,500,63.394805
500.0,500,63.869179
500.0,500,64.578997
500.0,500,65.032192
500.0,500,65.737099
500.0,500,66.122415
500.0,500,66.765713
408.0,408,67.14242
500.0,500,67.712221
500.0,500,68.085134
145.0,145,68.191293
500.0,500,68.751296
500.0,500,69.131316
500.0,500,69.664879
500.0,500,69.972463
500.0,500,70.353027
500.0,500,70.63345
500.0,500,71.018733
151.0,151,71.111301
500.0,500,71.367608
500.0,500,71.739362
185.0,185,71.829398
500.0,500,72.166966
500.0,500,72.421657
500.0,500,72.758153
500.0,500,73.001148
500.0,500,73.382045
500.0,500,73.637154
500.0,500,74.002084
500.0,500,74.259999
500.0,500,74.835936
500.0,500,75.203673
500.0,500,75.764789
500.0,500,76.176187
500.0,500,76.540804
500.0,500,77.097059
500.0,500,77.500294
500.0,500,77.938558
500.0,500,78.195164
500.0,500,78.55793
500.0,500,78.835082
500.0,500,79.199103
500.0,500,79.450055
500.0,500,79.837862
500.0,500,80.091527
500.0,500,80.446399
500.0,500,80.69449
500.0,500,81.051865
500.0,500,81.320579
500.0,500,81.695249
500.0,500,81.939902
206.0,206,82.124574
500.0,500,82.391304
500.0,500,82.617726
132.0,132,82.784592
500.0,500,83.017386
500.0,500,83.346661
500.0,500,83.55917
500.0,500,83.916315
302.0,302,84.067929
500.0,500,84.287651
500.0,500,84.633725
500.0,500,84.881768
500.0,500,85.212553
500.0,500,85.450639
115.0,115,85.503227
500.0,500,85.817931
500.0,500,86.072972
500.0,500,86.404291
152.0,152,86.474483
500.0,500,86.815642
500.0,500,87.084393
157.0,157,87.16217
500.0,500,87.488419
500.0,500,87.713306
500.0,500,88.044346
500.0,500,88.269683
500.0,500,88.600038
500.0,500,88.821863
500.0,500,89.125283
500.0,500,89.343932
500.0,500,89.655246
500.0,500,89.889078
500.0,500,90.392672
500.0,500,90.836327
500.0,500,91.476904
500.0,500,91.93807
500.0,500,92.413965
500.0,500,93.081497
500.0,500,93.538372
500.0,500,94.118497
222.0,222,94.30104
500.0,500,94.847054
500.0,500,95.238104
500.0,500,95.860276
500.0,500,96.236409
145.0,145,96.339274
500.0,500,96.918889
500.0,500,97.373676
500.0,500,97.893987
500.0,500,98.146678
500.0,500,98.495822
500.0,500,98.736274
500.0,500,99.084671
500.0,500,99.333349
500.0,500,99.667245
500.0,500,99.89639
500.0,500,100.264275
500.0,500,100.498988
500.0,500,100.825322
500.0,500,101.056573
500.0,500,101.406668
500.0,500,101.641713
500.0,500,101.973232
500.0,500,102.192492
500.0,500,102.521371
500.0,500,102.775367
500.0,500,103.101088
500.0,500,103.323715
500.0,500,103.551877
500.0,500,103.891469
500.0,500,104.138017
500.0,500,104.477087
500.0,500,104.697633
500.0,500,105.022116
500.0,500,105.259284
500.0,500,105.596929
500.0,500,105.832654
500.0,500,106.182853
500.0,500,106.427397
500.0,500,106.814587
500.0,500,107.047978
500.0,500,107.393953
500.0,500,107.627408
500.0,500,107.95139
500.0,500,108.178929
500.0,500,108.536373
500.0,500,108.794619
500.0,500,109.120598
88.0,88,109.161646
500.0,500,109.409126
291.0,291,109.653842
